"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 09월 14일","2,377.66","2,365.54","2,377.66","2,358.43","314.26M","0.74%"
"2017년 09월 13일","2,360.18","2,370.54","2,373.61","2,360.17","318.87M","-0.22%"
"2017년 09월 12일","2,365.47","2,372.02","2,372.45","2,359.12","333.57M","0.27%"
"2017년 09월 11일","2,359.08","2,354.86","2,369.72","2,354.35","243.61M","0.66%"
"2017년 09월 08일","2,343.72","2,350.19","2,351.73","2,340.63","214.59M","-0.11%"
"2017년 09월 07일","2,346.19","2,328.94","2,349.79","2,328.92","277.04M","1.14%"
"2017년 09월 06일","2,319.82","2,324.84","2,325.56","2,314.31","252.68M","-0.29%"
"2017년 09월 05일","2,326.62","2,340.62","2,340.62","2,319.94","320.43M","-0.13%"
"2017년 09월 04일","2,329.65","2,316.89","2,344.82","2,316.89","248.50M","-1.19%"
"2017년 09월 01일","2,357.69","2,367.45","2,370.25","2,351.37","280.06M","-0.23%"
"2017년 08월 31일","2,363.19","2,373.96","2,377.02","2,355.29","265.05M","-0.38%"
"2017년 08월 30일","2,372.29","2,368.13","2,372.29","2,363.43","305.64M","0.32%"
"2017년 08월 29일","2,364.74","2,356.20","2,364.74","2,332.85","223.09M","-0.23%"
"2017년 08월 28일","2,370.30","2,376.38","2,383.46","2,366.23","226.87M","-0.35%"
"2017년 08월 25일","2,378.51","2,381.47","2,384.59","2,372.67","341.96M","0.11%"
"2017년 08월 24일","2,375.84","2,370.12","2,382.72","2,368.29","295.53M","0.40%"
"2017년 08월 23일","2,366.40","2,376.53","2,379.59","2,360.71","228.62M","0.05%"
"2017년 08월 22일","2,365.33","2,360.29","2,369.02","2,359.97","251.86M","0.44%"
"2017년 08월 21일","2,355.00","2,363.38","2,363.38","2,351.96","207.22M","-0.14%"
"2017년 08월 18일","2,358.37","2,340.19","2,362.43","2,340.19","201.48M","-0.14%"
"2017년 08월 17일","2,361.67","2,351.61","2,364.50","2,346.74","255.77M","0.57%"
"2017년 08월 16일","2,348.26","2,355.74","2,358.46","2,343.72","270.52M","0.60%"
"2017년 08월 14일","2,334.22","2,336.02","2,341.78","2,327.80","214.02M","0.63%"
"2017년 08월 11일","2,319.71","2,323.06","2,335.12","2,310.20","318.58M","-1.69%"
"2017년 08월 10일","2,359.47","2,360.95","2,371.50","2,339.06","283.87M","-0.38%"
"2017년 08월 09일","2,368.39","2,379.70","2,387.53","2,366.33","234.07M","-1.10%"
"2017년 08월 08일","2,394.73","2,404.68","2,410.22","2,383.94","252.85M","-0.17%"
"2017년 08월 07일","2,398.75","2,402.57","2,412.13","2,395.74","244.12M","0.14%"
"2017년 08월 04일","2,395.45","2,389.74","2,400.33","2,383.45","273.57M","0.36%"
"2017년 08월 03일","2,386.85","2,423.21","2,423.55","2,374.11","303.58M","-1.68%"
"2017년 08월 02일","2,427.63","2,431.94","2,434.47","2,424.18","261.57M","0.19%"
"2017년 08월 01일","2,422.96","2,397.12","2,432.62","2,394.27","264.04M","0.84%"
"2017년 07월 31일","2,402.71","2,392.02","2,403.90","2,388.39","277.57M","0.07%"
"2017년 07월 28일","2,400.99","2,433.46","2,434.38","2,399.06","318.65M","-1.73%"
"2017년 07월 27일","2,443.24","2,443.28","2,448.24","2,435.49","426.50M","0.36%"
"2017년 07월 26일","2,434.51","2,446.82","2,446.96","2,429.62","336.11M","-0.22%"
"2017년 07월 25일","2,439.90","2,450.76","2,453.17","2,437.14","275.20M","-0.47%"
"2017년 07월 24일","2,451.53","2,451.41","2,451.53","2,443.65","233.41M","0.06%"
"2017년 07월 21일","2,450.06","2,438.78","2,451.59","2,437.84","250.13M","0.34%"
"2017년 07월 20일","2,441.84","2,436.06","2,443.69","2,427.95","251.92M","0.49%"
"2017년 07월 19일","2,429.94","2,430.09","2,430.09","2,419.64","270.96M","0.16%"
"2017년 07월 18일","2,426.04","2,425.07","2,426.16","2,419.17","260.66M","0.04%"
"2017년 07월 17일","2,425.10","2,427.76","2,430.34","2,419.91","254.20M","0.43%"
"2017년 07월 14일","2,414.63","2,418.27","2,421.48","2,411.34","258.77M","0.21%"
"2017년 07월 13일","2,409.49","2,405.76","2,422.26","2,402.92","289.26M","0.74%"
"2017년 07월 12일","2,391.77","2,395.41","2,399.28","2,390.45","268.93M","-0.18%"
"2017년 07월 11일","2,396.00","2,386.42","2,396.46","2,382.69","284.46M","0.58%"
"2017년 07월 10일","2,382.10","2,386.30","2,389.87","2,378.04","296.26M","0.09%"
"2017년 07월 07일","2,379.87","2,376.29","2,385.02","2,372.83","314.37M","-0.33%"
"2017년 07월 06일","2,387.81","2,390.31","2,392.50","2,380.82","301.47M","-0.02%"
"2017년 07월 05일","2,388.35","2,377.01","2,390.29","2,375.63","333.72M","0.33%"
"2017년 07월 04일","2,380.52","2,395.24","2,398.02","2,376.41","411.78M","-0.58%"
"2017년 07월 03일","2,394.48","2,397.66","2,399.90","2,384.55","310.99M","0.11%"
"2017년 06월 30일","2,391.79","2,382.15","2,391.81","2,381.40","343.53M","-0.16%"
"2017년 06월 29일","2,395.66","2,396.81","2,402.80","2,393.57","445.13M","0.55%"
"2017년 06월 28일","2,382.56","2,382.91","2,390.89","2,380.75","361.18M","-0.39%"
"2017년 06월 27일","2,391.95","2,386.76","2,397.14","2,383.47","358.03M","0.14%"
"2017년 06월 26일","2,388.66","2,381.09","2,390.70","2,377.88","325.67M","0.42%"
"2017년 06월 23일","2,378.60","2,371.54","2,380.94","2,369.17","256.26M","0.35%"
"2017년 06월 22일","2,370.37","2,364.22","2,370.39","2,354.10","299.23M","0.54%"
